dzongkhag,validation_year,model,RMSE,MAE,MAPE,MASE
PUNAKHA,2022,SARIMA,0.027328462520021114,0.0191099653208202,10.581716280968333,0.6564721199537005
PUNAKHA,2023,Seasonal Naive,0.020477765719150942,0.011893978333333333,7.16684229853085,0.429078177777895
PUNAKHA,2023,Holt-Winters,0.011619919222876387,0.00863629110672219,5.298986842902418,0.311556314210409
PUNAKHA,2023,SARIMA,0.01163150985291679,0.00925738479852988,5.787338688116419,0.33396242106897955
PUNAKHA,2024,Seasonal Naive,0.014902245895200662,0.01270388416666667,9.065432065994838,0.4935155806527685
PUNAKHA,2024,Holt-Winters,0.01698209343894761,0.015612648698805747,10.548152715852776,0.6065141406386517
PUNAKHA,2024,SARIMA,0.019260035644574763,0.01648001943827042,11.530860945541905,0.6402094237908158
SAMDRUPJONGKHAR,2022,Seasonal Naive,0.03313654284723728,0.024405364166666665,7.517807607140401,0.4810144263193886
SAMDRUPJONGKHAR,2022,Holt-Winters,0.03418943082516668,0.028397435458718968,9.149889833630375,0.5596956485809825
SAMDRUPJONGKHAR,2022,SARIMA,0.031420104716314526,0.02532681700729796,7.978638831503701,0.49917568408590896
SAMDRUPJONGKHAR,2023,Seasonal Naive,0.03380958478969192,0.02329580666666668,6.775206169847506,0.4959131386153558
SAMDRUPJONGKHAR,2023,Holt-Winters,0.030161509203335712,0.021374456888434867,6.05593823137977,0.4550121038267978
SAMDRUPJONGKHAR,2023,SARIMA,0.024238485731024245,0.01713388612014612,5.208608450700361,0.36474028841756095
SAMDRUPJONGKHAR,2024,Seasonal Naive,0.046560567522699846,0.03590749083333334,9.005654895273285,0.8157899692346108
SAMDRUPJONGKHAR,2024,Holt-Winters,0.053260631970831945,0.041073500191683716,10.415778381995487,0.9331576414864995
SAMDRUPJONGKHAR,2024,SARIMA,0.0394894467864844,0.03341190580984634,9.17473365486881,0.7590922389759739
SAMTSE,2022,Seasonal Naive,0.02488687241463073,0.020683377499999992,11.013491846705529,1.5499897479408968
SAMTSE,2022,Holt-Winters,0.017025942722403795,0.014593323057738162,8.56693515005736,1.0936077112107856
SAMTSE,2022,SARIMA,0.01959691403159671,0.017409821955220953,9.892105411532675,1.3046730662856598
SAMTSE,2023,Seasonal Naive,0.01887847948759005,0.014384664166666665,8.66687092958781,0.9994447068918156
SAMTSE,2023,Holt-Winters,0.012999004869382361,0.009879413495000782,5.975013520711025,0.6864204412679155
SAMTSE,2023,SARIMA,0.013901965958250636,0.011167916420089437,6.779886059207388,0.7759454669044991
SAMTSE,2024,Seasonal Naive,0.02869942276913829,0.025590764999999998,11.799103014035648,1.7781666476186906
SAMTSE,2024,Holt-Winters,0.02258049707314663,0.01785681057418326,8.035074864266615,1.2407751388384614
SAMTSE,2024,SARIMA,0.02597222381756419,0.020717996960926514,9.134878163707977,1.4395838186699352
THIMPHU,2022,Seasonal Naive,1.7071873318028408,1.2435468531666665,11.026658035809069,1.7125636883511637
THIMPHU,2022,Holt-Winters,1.2533727660706104,0.9086210685234716,7.798849699870845,1.2513171051509864
THIMPHU,2022,SARIMA,1.3605830158032335,1.1684478185218,12.004255290013479,1.6091402592817103
THIMPHU,2023,Seasonal Naive,1.409198841784571,0.9392396560000003,8.582379028894914,1.1739788584931055
THIMPHU,2023,Holt-Winters,1.2486081393401807,0.9386395269502458,8.561691970161585,1.1732287423621706
THIMPHU,2023,SARIMA,1.5428497326304533,1.3463324055035837,13.677012315961564,1.6828141470267877
THIMPHU,2024,Seasonal Naive,1.0602933766172302,0.7444239022499998,5.7899262116226184,0.9106691850263396
THIMPHU,2024,Holt-Winters,0.7689576487362436,0.6032296100729747,5.999023972093106,0.7379432816820367
