Month,Dzongkhag,Forecast,lower_80,upper_80,lower_95,upper_95,Selected_Model
2026-12-01,CHUKHA,1.42897099,1.2596236337437683,1.5983183462562318,1.1699765585131643,1.6879654214868358,Seasonal Naive
2026-01-01,DAGANA,0.038022,0.03137115783149084,0.04467284216850916,0.027850414659539052,0.04819358534046095,Seasonal Naive
2026-02-01,DAGANA,0.036211,0.029560157831490835,0.04286184216850916,0.026039414659539052,0.04638258534046095,Seasonal Naive
2026-03-01,DAGANA,0.039074,0.032423157831490836,0.04572484216850916,0.02890241465953905,0.049245585340460946,Seasonal Naive
2026-04-01,DAGANA,0.038532,0.031881157831490835,0.04518284216850916,0.02836041465953905,0.048703585340460945,Seasonal Naive
2026-05-01,DAGANA,0.024341,0.017690157831490836,0.030991842168509167,0.014169414659539054,0.03451258534046095,Seasonal Naive
2026-06-01,DAGANA,0.02047,0.013819157831490833,0.027120842168509164,0.01029841465953905,0.030641585340460947,Seasonal Naive
2026-07-01,DAGANA,0.019666,0.013015157831490834,0.026316842168509165,0.009494414659539051,0.029837585340460947,Seasonal Naive
2026-08-01,DAGANA,0.019927,0.013276157831490835,0.026577842168509166,0.009755414659539052,0.030098585340460948,Seasonal Naive
2026-09-01,DAGANA,0.021805,0.015154157831490836,0.028455842168509167,0.011633414659539053,0.03197658534046095,Seasonal Naive
2026-10-01,DAGANA,0.021036,0.014385157831490834,0.027686842168509165,0.010864414659539051,0.031207585340460947,Seasonal Naive
2026-11-01,DAGANA,0.021846,0.015195157831490835,0.028496842168509166,0.011674414659539053,0.03201758534046095,Seasonal Naive
2026-12-01,DAGANA,0.02892,0.022269157831490836,0.03557084216850916,0.018748414659539053,0.03909158534046095,Seasonal Naive
2026-01-01,HAA,0.12535617044745515,0.11240973946336505,0.13830260143154524,0.10555631288466794,0.14515602801024236,SARIMA
2026-02-01,HAA,0.10801284837313964,0.09506641738904954,0.12095927935722973,0.08821299081035243,0.12781270593592686,SARIMA
2026-03-01,HAA,0.11574278252548403,0.10279635154139394,0.12868921350957413,0.09594292496269682,0.13554264008827124,SARIMA
2026-04-01,HAA,0.11836759173629423,0.10542116075220413,0.13131402272038434,0.09856773417350702,0.13816744929908145,SARIMA
2026-05-01,HAA,0.11174930673312719,0.0988028757490371,0.12469573771721729,0.09194944917033998,0.1315491642959144,SARIMA
2026-06-01,HAA,0.09989657286740625,0.08695014188331615,0.11284300385149634,0.08009671530461904,0.11969643043019346,SARIMA
2026-07-01,HAA,0.08759255800350756,0.07464612701941746,0.10053898898759765,0.06779270044072035,0.10739241556629477,SARIMA
2026-08-01,HAA,0.0793596376390786,0.06641320665498851,0.0923060686231687,0.059559780076291396,0.09915949520186582,SARIMA
2026-09-01,HAA,0.08789393795360674,0.07494750696951664,0.10084036893769684,0.06809408039081953,0.10769379551639395,SARIMA
2026-10-01,HAA,0.08986550650943183,0.07691907552534173,0.10281193749352192,0.07006564894664462,0.10966536407221904,SARIMA
2026-11-01,HAA,0.12000776710852727,0.10706133612443718,0.13295419809261738,0.10020790954574006,0.1398076246713145,SARIMA
2026-12-01,HAA,0.12697602055630167,0.11402958957221157,0.13992245154039176,0.10717616299351446,0.14677587811908888,SARIMA
2026-01-01,LHUENTSE,0.087995,0.06288164818055236,0.11310835181944764,0.049587442769726535,0.12640255723027347,Seasonal Naive
2026-02-01,LHUENTSE,0.075677,0.05056364818055236,0.10079035181944762,0.037269442769726525,0.11408455723027347,Seasonal Naive
2026-03-01,LHUENTSE,0.080087,0.05497364818055237,0.10520035181944765,0.04167944276972654,0.11849455723027347,Seasonal Naive
2026-04-01,LHUENTSE,0.070015,0.04490164818055236,0.09512835181944762,0.031607442769726525,0.10842255723027347,Seasonal Naive
2026-05-01,LHUENTSE,0.05783,0.032716648180552366,0.08294335181944763,0.01942244276972653,0.09623755723027347,Seasonal Naive
2026-06-01,LHUENTSE,0.04304,0.017926648180552368,0.06815335181944764,0.004632442769726533,0.08144755723027347,Seasonal Naive
2026-07-01,LHUENTSE,0.044333,0.019219648180552364,0.06944635181944764,0.0059254427697265286,0.08274055723027346,Seasonal Naive
2026-08-01,LHUENTSE,0.049668,0.024554648180552363,0.07478135181944763,0.011260442769726528,0.08807555723027347,Seasonal Naive
2026-09-01,LHUENTSE,0.049422,0.024308648180552367,0.07453535181944763,0.011014442769726532,0.08782955723027347,Seasonal Naive
2026-10-01,LHUENTSE,0.044676,0.019562648180552367,0.06978935181944763,0.006268442769726532,0.08308355723027347,Seasonal Naive
2026-11-01,LHUENTSE,0.04902,0.023906648180552367,0.07413335181944763,0.010612442769726532,0.08742755723027347,Seasonal Naive
2026-12-01,LHUENTSE,0.058426,0.033312648180552365,0.08353935181944763,0.02001844276972653,0.09683355723027347,Seasonal Naive
